passenger_id,passenger_name,signup_date,total_rides,total_spent,rating
248,Dhruv Joshi,9/28/2022,43,1092.26,4.9
249,Tejas Mangal,4/7/2023,51,756.02,4.14
250,Eva Dhar,1/11/2023,74,1356.22,3.82
251,Aarav Dube,3/22/2023,71,495.4,3.47
252,Nitara Viswanathan,10/22/2022,45,425.07,3.24
253,Diya Ravel,9/20/2022,65,119.06,3.28
254,Hiran Shah,7/11/2023,38,412.09,4.18
255,Lavanya Kohli,12/27/2022,78,1595.73,3.57
256,Manikya Gour,1/25/2023,22,462.08,3.87
257,Raghav Wadhwa,1/13/2023,12,1248.51,3.39
258,Faiyaz Soman,7/7/2023,87,856.44,4.26
259,Myra Rajagopal,4/18/2023,94,526.36,4.58
260,Kiara Yohannan,10/29/2022,29,373.69,4.56
261,Parinaaz Chad,10/4/2022,23,267.29,3.89
262,Arhaan Dua,5/5/2023,69,785.32,3.18
263,Vihaan Swaminathan,9/20/2022,54,264.31,3.65
264,Oorja Kalita,2/26/2023,64,268.76,4.41
265,Baiju Boase,5/26/2023,57,423.83,3.49
266,Eshani Soman,1/26/2023,63,929.83,4.06
267,Jhanvi Sandhu,4/7/2023,92,151.34,3.67
268,Nishith Iyer,3/24/2023,24,406.07,3.54
269,Badal Manda,7/11/2023,24,1748.42,3.19
270,Vaibhav Dave,10/6/2022,25,1256.28,3.15
271,Shray Sunder,5/2/2023,83,755.85,3.15
272,Eva Vig,12/30/2022,98,1657.98,4.34
273,Shamik Subramanian,3/26/2023,11,405.24,4.86
274,Dhanush Gokhale,1/3/2023,80,1534.44,4.37
275,Rati Krishna,11/6/2022,97,918.67,3.79
276,Nayantara Borra,10/25/2022,75,593.97,3.93
277,Neelofar Datta,12/13/2022,92,550.34,3.25
278,Ira Dasgupta,2/5/2023,32,1737.33,3.83
279,Ahana  Batta,3/27/2023,74,1151.43,3.1
280,Emir Sankaran,5/28/2023,100,1936.61,4.14
281,Aayush Hayer,1/20/2023,47,837.23,4.75
282,Baiju Bhargava,6/16/2023,92,1514.25,3.54
283,Heer Ratti,8/25/2022,29,1881.61,4.37
284,Siya Gara,6/1/2023,49,973.01,4.02
285,Kismat Sachdev,11/7/2022,18,1855.33,4.91
286,Neelofar Brahmbhatt,1/8/2023,34,1064.91,3.36
287,Ojas Kothari,8/29/2022,11,1049.99,3.35
288,Tiya Bhalla,4/13/2023,20,650.75,4.45
289,Neysa Gole,8/31/2022,69,1033.27,3.11
290,Stuvan Char,10/26/2022,66,832.13,4.71
291,Shray Dixit,10/17/2022,67,446.11,4.27
292,Ivan Buch,5/6/2023,23,1963.22,4.91
293,Vritika Rao,6/17/2023,90,914.84,4.06
294,Vedika Shroff,9/2/2022,58,1534.93,3.9
295,Nitara Kalla,3/10/2023,35,1916.86,3.83
296,Riaan Vala,9/12/2022,66,785.13,3.66
297,Rhea Chaudhari,5/13/2023,25,807.09,3.28
298,Nayantara Issac,6/15/2023,87,363.54,3.71
299,Krish Srinivas,2/16/2023,34,1697.72,3.53
300,Vihaan Ahluwalia,1/3/2023,68,1948.69,3.76
301,Mehul Handa,6/20/2023,18,1009.5,4.35
302,Ishita Johal,6/11/2023,100,1670.59,4.27
303,Zain Dar,8/10/2022,87,857.29,4.19
304,Samar Krishnan,2/7/2023,51,886.74,4.18
305,Bhavin Dubey,4/24/2023,13,356.21,4.94
306,Samar Majumdar,3/4/2023,43,432.13,4.55
307,Ivan Kothari,2/6/2023,78,1401.82,3.82
308,Seher Bose,5/31/2023,97,770.58,4.05
309,Hazel Varghese,9/18/2022,69,195.01,4.35
310,Ivan Kari,2/25/2023,90,1788.99,4.59
311,Amira Ramachandran,8/19/2022,49,620.31,4.52
312,Ritvik Chopra,7/4/2023,74,1011.96,4.61
313,Raunak Agrawal,10/23/2022,18,1284.14,3.93
314,Yashvi Bhatia,2/3/2023,69,424.33,4.75
315,Abram Sidhu,12/22/2022,28,1843.23,4.33
316,Eva Chad,9/20/2022,75,113.77,4.35
317,Pari Vaidya,11/24/2022,83,1822.88,4.35
318,Ishaan Sem,3/7/2023,93,471.79,4.13
319,Faiyaz Ganesan,3/2/2023,16,1556.88,3.36
320,Dhruv Doshi,10/22/2022,64,1621.12,4.21
321,Heer Bedi,2/18/2023,75,1179.46,4.48
322,Anya Biswas,5/14/2023,61,279.44,3.14
323,Kimaya Bhalla,1/21/2023,64,1141.66,3.87
324,Manjari Chakrabarti,1/27/2023,28,953.98,4.49
325,Samar Sarraf,11/26/2022,80,1506.86,4.09
326,Gatik Lala,5/22/2023,62,1473.27,4.11
327,Mehul Mani,8/11/2022,66,1058.45,3.83
328,Indrans Choudhury,10/10/2022,24,103.49,4.71
329,Shaan Sheth,6/14/2023,91,341.13,4.58
330,Zain Dutt,3/8/2023,90,1701.2,3.05
331,Alisha Khurana,5/13/2023,17,830.75,4.1
332,Rhea Vig,9/13/2022,32,284.08,3.11
333,Raunak Agarwal,10/3/2022,95,1755.47,3.94
334,Lagan Sanghvi,6/3/2023,54,259.67,3.56
335,Farhan Malhotra,4/16/2023,100,1287.67,3.68
336,Dishani Arya,6/4/2023,16,671.62,4.69
337,Raghav Rajan,3/16/2023,13,423.83,4.15
338,Umang Mand,2/5/2023,66,1734.89,4.13
339,Tejas Varughese,9/30/2022,89,165.65,4.6
340,Neelofar Sibal,5/21/2023,91,662.18,3.8
341,Urvi Bansal,10/7/2022,28,1353.96,4.93
342,Jivin Lanka,9/1/2022,18,713.74,3.75
343,Zoya Karan,3/8/2023,36,1287.07,3.27
344,Samarth Chowdhury,5/8/2023,45,586.24,4.37
345,Miraan Sandal,11/6/2022,12,1275.66,3.64
346,Suhana Sankar,4/26/2023,99,162.98,4.76
347,Nitya Dhingra,2/17/2023,80,1132.96,3.66
348,Rhea Chana,8/13/2022,64,367.73,4.93
349,Kiaan Comar,6/1/2023,37,1254.99,4.94
350,Amani Master,12/24/2022,98,755.14,3.22
351,Anaya Dhar,3/19/2023,45,454.66,4.62
352,Jayesh Agrawal,4/26/2023,69,1185.69,3.1
353,Lavanya Kumer,8/13/2022,41,785.06,3.59
354,Rati Gade,12/21/2022,12,999.03,4.72
355,Anaya Doctor,6/25/2023,21,998.98,3.47
356,Damini Dewan,12/15/2022,76,107.76,3.05
357,Riaan Sagar,1/27/2023,40,717.51,4.3
358,Tiya Lala,9/16/2022,87,1351.4,4.77
359,Zain Seshadri,11/6/2022,84,1183.35,3.16
360,Neysa Iyengar,9/27/2022,78,1853.44,4.05
361,Lakshit Gandhi,9/10/2022,34,1205.96,3.37
362,Himmat Ramaswamy,10/8/2022,81,1966.41,4.13
363,Indrajit Grover,1/3/2023,38,1180.65,3.07
364,Aarna Rout,6/16/2023,96,321.92,3.82
365,Aarav Luthra,4/24/2023,94,925.57,4.23
366,Raghav Divan,9/27/2022,93,750.38,4.14
367,Ira Kunda,4/22/2023,40,561.23,4.29
368,Hunar Mannan,12/17/2022,58,988.76,4.5
369,Mahika Talwar,3/10/2023,89,881.51,4.02
370,Shlok Deep,2/18/2023,61,1189.85,3.39
371,Amani Kohli,6/25/2023,96,1310.25,3.18
372,Madhav Khurana,10/10/2022,60,1913.02,3.99
373,Kashvi Ghose,6/1/2023,87,1180.83,3.36
374,Saira Ramanathan,2/20/2023,48,138.46,4.64
375,Vardaniya Ramanathan,5/15/2023,41,274.18,4.81
376,Taran Talwar,4/22/2023,97,609.77,3.09
377,Zeeshan Kari,9/19/2022,60,1929.04,3.48
378,Hansh Gupta,12/30/2022,11,1436.99,3.77
379,Saira Kala,5/31/2023,83,1728.34,4
380,Samiha Mandal,6/3/2023,96,261.25,4.85
381,Ehsaan Chaudhuri,8/25/2022,45,851.53,3.29
382,Siya Chandra,3/9/2023,60,991.71,4.73
383,Ojas Khatri,8/16/2022,58,493.26,3.61
384,Yuvaan Ratta,2/3/2023,25,1934.64,3.92
385,Uthkarsh Sachdeva,12/26/2022,43,1928.04,4.63
386,Raghav Sem,6/2/2023,53,1916.41,4.91
387,Aaryahi Chakrabarti,11/6/2022,90,1796,4.4
388,Farhan Sheth,1/10/2023,42,1510.39,3.54
389,Zara Biswas,11/4/2022,21,1474.3,3.02
390,Vedika Desai,8/14/2022,66,922.05,4.27
391,Pari Grover,9/28/2022,13,1681.52,3.4
392,Anay Sampath,5/4/2023,74,1378.22,3.17
393,Siya Karnik,3/8/2023,10,1935.98,4.42
394,Lavanya Sandhu,2/24/2023,91,1750.39,4.46
395,Samaira Varghese,2/8/2023,95,1840.45,4.62
396,Indrajit Bajwa,4/20/2023,42,1784.66,4.77
397,Zaina Sule,3/20/2023,69,157.89,3.63
398,Rati Taneja,3/19/2023,23,1724.7,3.47
399,Siya Soman,12/1/2022,29,390.37,4.29
400,Aarush Chandran,11/19/2022,58,218.91,3.46
401,Hazel Johal,9/12/2022,24,1352.59,3.75
402,Riya Golla,12/18/2022,27,515.84,4.9
403,Sumer Bandi,4/11/2023,61,1283.78,4.67
404,Ryan Deshpande,1/31/2023,71,1205.05,3.82
405,Madhup Lata,4/20/2023,49,448.35,4.8
406,Nishith Manda,6/21/2023,67,807.67,4.07
407,Ishaan Dass,2/16/2023,43,1556.73,4.17
408,Vihaan Khare,12/20/2022,33,1158.45,4.49
409,Shamik Deep,1/3/2023,38,1993.29,3.73
410,Bhavin Issac,10/29/2022,16,1323.55,4.84
411,Charvi Kaur,5/13/2023,73,816.72,4.47
412,Advik Hegde,11/7/2022,51,936.03,4.55
413,Samaira Butala,7/2/2023,85,1063.47,3.15
414,Vivaan Khalsa,3/29/2023,94,1915.29,4.48
415,Azad Wali,4/24/2023,88,1383.23,3.65
416,Parinaaz Vohra,1/31/2023,23,1570.79,3.82
417,Anahi Shere,4/1/2023,44,1090.42,3.8
418,Farhan Kuruvilla,6/28/2023,83,1270.88,3.47
419,Rasha Bains,2/26/2023,88,823.33,4.93
420,Lakshay Bhatia,5/31/2023,90,241.63,4.88
421,Yuvaan Wali,10/10/2022,85,1685.84,4.6
422,Anaya Butala,5/26/2023,54,1953.87,3.14
423,Taimur Krish,10/29/2022,29,1853.49,4.72
424,Kismat Ramachandran,8/29/2022,31,1594.89,4.29
425,Advika Bhandari,11/29/2022,38,1638.88,3.97
426,Yakshit Walla,3/2/2023,96,688.83,3.11
427,Neelofar Ramakrishnan,12/25/2022,97,1163.13,4.2
428,Samarth Bajwa,2/24/2023,57,198.9,4.68
429,Fateh Chad,10/13/2022,45,1496.61,3.47
430,Parinaaz Kulkarni,10/4/2022,46,1979.75,3.01
431,Madhav Devi,12/2/2022,30,1433.45,4.06
432,Taran Dube,2/19/2023,99,1159.5,4.37
433,Eva Kumar,2/3/2023,83,1964.26,4.88
434,Neysa Chhabra,12/12/2022,66,1603.95,3.71
435,Reyansh Divan,3/4/2023,61,1132.29,3.34
436,Vardaniya Sanghvi,4/12/2023,34,175.96,3.34
437,Taimur Dua,6/9/2023,15,137,3.44
438,Lakshay Bath,10/1/2022,95,1759.28,3.36
439,Saksham Sibal,6/5/2023,36,347.21,4.4
440,Trisha Datta,9/12/2022,29,1746.33,4.58
441,Zain Dewan,3/7/2023,87,125.29,3.54
442,Biju Deshmukh,6/4/2023,51,118.13,4.38
443,Tushar Kothari,1/11/2023,29,1951.86,3.38
444,Krish Sarkar,8/16/2022,28,102.61,4.14
445,Ojas Choudhury,2/14/2023,67,1570.82,4.36
446,Samiha Subramaniam,1/1/2023,96,327.47,4.44
447,Farhan Gopal,4/9/2023,16,921.41,3.37
448,Prisha Mangat,11/5/2022,37,1234.92,3.31
449,Ojas Kant,4/24/2023,18,376.95,3.52
450,Rhea Trivedi,6/15/2023,27,1964.61,4.01
451,Priyansh Jhaveri,6/9/2023,79,250.18,4.97
452,Hrishita Luthra,6/7/2023,58,521.46,3.54
453,Nirvaan Krish,11/24/2022,49,1825.39,3.47
454,Ojas Sarna,1/14/2023,34,1339.27,4.03
455,Ishita Arya,11/14/2022,86,1626.05,4.74
456,Kaira Lad,3/7/2023,49,1572.47,3.91
457,Yakshit Atwal,12/9/2022,67,1418.76,4.71
458,Renee Jani,11/28/2022,47,939.84,4.79
459,Mamooty Hans,6/25/2023,52,363.62,3.92
460,Anya Dhar,2/5/2023,96,893.63,4.3
461,Nirvi Dalal,12/27/2022,15,244.79,4.75
462,Seher Kunda,11/14/2022,96,1826.73,3.83
463,Ivan Varughese,2/20/2023,86,522.48,4.83
464,Farhan Kalita,1/15/2023,68,1750.97,4.18
465,Hridaan Sama,6/6/2023,71,1876.24,3.43
466,Divit Dass,3/11/2023,85,1807.81,3.55
467,Vardaniya Deo,8/16/2022,68,1039.87,4.39
468,Urvi Jayaraman,1/28/2023,26,119.48,4.18
469,Amira Goda,4/10/2023,45,693.74,5
470,Kiaan Iyengar,12/1/2022,88,849.91,3.93
471,Saksham Ray,3/7/2023,41,1435.66,3.05
472,Prisha Dara,8/22/2022,93,648.38,4.79
473,Misha Comar,10/17/2022,48,1462.35,3.82
474,Badal Krishna,4/6/2023,53,1105.85,3.35
475,Anahita Kale,1/20/2023,46,1817.3,3.86
476,Ranbir Ramachandran,10/6/2022,29,1352.9,3.95
477,Saksham Malhotra,2/15/2023,20,1551,3.04
478,Baiju Sankar,3/24/2023,58,646.45,3.58
479,Rohan Sinha,4/2/2023,83,1645.99,3.48
480,Sumer Kakar,3/1/2023,36,1836.77,4.73
481,Anahita Bhagat,3/21/2023,12,550.54,4.04
482,Onkar Shanker,10/29/2022,12,1299.24,4.89
483,Mohanlal Sunder,4/24/2023,27,1926.86,4.22
484,Shanaya Dass,1/9/2023,22,194.26,3.21
485,Tara Shankar,9/16/2022,69,1055.29,3.46
486,Ivana Borra,4/15/2023,98,753.2,3.36
487,Yuvaan Sani,4/8/2023,51,208.55,3.15
488,Kiaan Banerjee,2/3/2023,82,585.88,3.73
489,Yuvraj  Borra,7/9/2023,96,915.15,3.14
490,Neysa Das,11/7/2022,53,325.09,4.85
491,Mishti Kunda,6/13/2023,36,1667.14,3.32
492,Anya Swamy,9/7/2022,41,1501.54,4.03
493,Tushar Mahal,11/21/2022,19,293.96,4.53
494,Veer Chad,4/6/2023,58,1542.97,4.82
495,Chirag Dara,3/2/2023,50,1146.93,4.02
496,Lakshay Bala,8/27/2022,58,839.29,3.67
497,Zara Sane,3/5/2023,83,1318.2,3.13
498,Rasha Ramesh,2/18/2023,67,259.67,3.59
499,Anvi Verma,10/9/2022,76,1673.15,4.13
500,Shamik Sha,3/3/2023,31,1770.56,3.92
501,Kiaan Ravi,1/13/2023,51,1931.54,3.78
502,Kiaan Sant,9/24/2022,89,584.95,3.99
503,Parinaaz Bassi,12/18/2022,49,105.93,3.74
504,Nakul Kulkarni,5/17/2023,98,1277.88,4.45
505,Darshit Gera,2/9/2023,81,727.11,4.83
506,Aaina Deshmukh,11/21/2022,75,248.58,3.74
507,Faiyaz Suresh,12/4/2022,82,1025.26,3.13
508,Baiju Bhatnagar,9/17/2022,76,1260.99,3.24
509,Inaaya  Dara,7/10/2023,95,952.65,3.38
510,Elakshi Sabharwal,8/12/2022,87,427.54,4.18
511,Samaira Keer,9/22/2022,18,1480.64,3.67
512,Jivin Kurian,6/12/2023,55,506.41,3.38
513,Jayesh Venkataraman,5/31/2023,94,1791.09,4.76
514,Dishani Dani,6/22/2023,52,793.62,3.5
515,Manjari Loke,11/1/2022,34,1726.86,4.1
516,Ayesha Ramanathan,3/25/2023,74,1172.72,3.26
517,Aaryahi Thakur,12/4/2022,89,404.02,4.4
518,Ivana Lala,7/2/2023,23,1654.27,4.77
519,Shamik Viswanathan,4/15/2023,37,744.88,3.34
520,Manikya Dugar,6/16/2023,94,1966.93,3.95
521,Miraan Kant,4/3/2023,60,1066.27,3.36
522,Dhanuk Mangat,3/19/2023,11,175.72,4.39
523,Romil Sanghvi,10/28/2022,65,1125.75,4.01
524,Zaina Dash,9/22/2022,90,972.2,4.32
525,Aarush Zachariah,6/30/2023,52,860.91,4.33
526,Akarsh Divan,5/19/2023,81,437.68,4.95
527,Zara Kuruvilla,6/28/2023,55,1999.36,3.69
528,Kartik Walia,1/18/2023,89,1740.38,4.1
529,Myra Chakrabarti,9/28/2022,75,926.11,3.59
530,Amani Sinha,2/15/2023,92,189.87,4.56
531,Nitara Sahota,9/11/2022,98,1507.46,3.84
532,Chirag Bhattacharyya,8/15/2022,83,1056.86,3
533,Urvi Krishnamurthy,11/20/2022,90,773.64,3.95
534,Divit Chaudhari,9/22/2022,16,1644.55,3.72
535,Hansh Soman,11/11/2022,69,676.84,3.92
536,Eshani Tak,3/2/2023,47,257.53,3.96
537,Manjari Baria,9/5/2022,44,452.58,4.44
538,Rhea Apte,4/23/2023,31,833.25,3.96
539,Samaira Amble,7/9/2023,59,1460.79,4.94
540,Misha Chaudhry,10/5/2022,37,1480.82,4.78
541,Eshani Khalsa,12/19/2022,84,397.24,3.81
542,Tiya Dhingra,7/11/2023,16,190.02,4.2
543,Kavya Ram,5/22/2023,29,1331.83,4.08
544,Kaira Zachariah,1/24/2023,66,1145.24,3.51
545,Indrans Gera,6/8/2023,34,1754.35,4.76
546,Himmat Dutt,4/27/2023,53,1574.65,3.5
547,Biju Thakkar,8/28/2022,91,1690.97,4.56
548,Elakshi Thakkar,12/27/2022,55,1717.08,4.69
549,Tejas Gade,10/8/2022,46,593.56,4.85
550,Navya Sarin,3/9/2023,92,1148.6,4.23
551,Chirag Kapadia,4/29/2023,90,1782.28,4.09
552,Jayant Setty,11/16/2022,96,1598.91,4.36
553,Romil Srinivasan,8/31/2022,96,1887.85,3.69
554,Adira Wadhwa,6/27/2023,45,420.62,4.05
555,Lakshit Chatterjee,10/8/2022,44,1036.83,4.65
556,Rhea Bhagat,12/23/2022,87,1747.61,3.97
557,Jayant Ahuja,3/6/2023,82,1153.01,3.39
558,Mishti Sangha,7/2/2023,63,1522.33,3.59
559,Advik Sastry,2/17/2023,91,542.99,3.99
560,Nirvi Sheth,2/16/2023,86,413.03,4.88
561,Saira Uppal,9/1/2022,59,1879.84,4.99
562,Nakul Roy,11/25/2022,14,745.02,4.95
563,Umang Savant,12/4/2022,12,259.15,4.14
564,Bhamini Banik,5/27/2023,69,730.35,3.93
565,Diya Mangal,1/14/2023,44,333.16,4.41
566,Ojas Krish,2/5/2023,98,202.41,4.24
567,Kanav Chander,9/27/2022,92,1283.79,3.88
568,Darshit Kapur,10/6/2022,98,1037.12,4.45
569,Darshit Gopal,3/28/2023,23,918.88,3.48
570,Kanav Bhakta,9/14/2022,84,1715.78,3.31
571,Ranbir Shankar,12/1/2022,66,1993.63,3.17
572,Damini Sura,9/18/2022,30,835.54,3.07
573,Mohanlal Ahuja,8/12/2022,58,512.69,3.29
574,Anay Doshi,11/21/2022,50,367.03,4.43
575,Taran Dugar,12/27/2022,94,792.02,3.34
576,Aniruddh Sarin,5/28/2023,92,398.28,4.8
577,Azad Khurana,6/25/2023,59,1436.94,4.85
578,Aayush Khosla,6/2/2023,62,880.05,3.43
579,Zara Khatri,2/20/2023,81,1138.88,4.59
580,Rania Chaudhuri,6/20/2023,18,1810.12,3.7
581,Prerak Baral,3/10/2023,38,274.19,4.88
582,Ranbir Dhillon,5/17/2023,21,469.32,4.91
583,Dhruv Chopra,3/23/2023,18,1971.7,3.62
584,Trisha Bajwa,3/10/2023,21,406.35,3.1
585,Misha Shroff,12/26/2022,63,949.04,3.12
586,Ishaan Chana,12/14/2022,33,1973.43,3.76
587,Stuvan Gola,5/20/2023,10,785.08,3.73
588,Miraan Bava,4/4/2023,56,915.37,4.94
589,Anya Sarraf,4/23/2023,73,1905.79,3.07
590,Charvi Shroff,3/4/2023,16,308.4,4.7
591,Vritika Lalla,3/5/2023,24,1659.77,4.64
592,Tiya Deo,4/4/2023,99,369.48,4.48
593,Damini Rastogi,4/20/2023,77,1316.37,4.45
594,Yuvraj  Kalita,5/6/2023,70,1014.99,3.28
595,Nakul Devi,12/20/2022,92,112.26,4.59
596,Anaya Doctor,9/3/2022,62,1040.35,3.89
597,Yashvi Brar,5/8/2023,23,1998.11,4.97
598,Badal Loke,3/29/2023,64,1939.88,3.23
599,Mamooty Sodhi,5/27/2023,65,296.3,3.61
600,Aaina Kibe,12/12/2022,78,1740.03,3.25
601,Ayesha Khurana,12/3/2022,33,293.78,3.64
602,Biju Doshi,3/25/2023,16,1207.43,4.08
603,Uthkarsh Raj,9/18/2022,82,1151.17,3.43
604,Mannat Hans,2/20/2023,35,1773.68,4.33
605,Yasmin Dara,10/27/2022,29,991.78,4.16
606,Aaryahi Bal,5/19/2023,15,851.28,3.44
607,Ojas Goyal,3/19/2023,37,1469.18,3.03
608,Darshit Deep,11/22/2022,45,375.65,3.28
609,Rohan Sibal,3/15/2023,82,1565.91,4.28
610,Uthkarsh Golla,10/9/2022,26,1453.22,5
611,Amira Goda,6/1/2023,58,1252.83,3.35
612,Samiha Sha,11/20/2022,45,425.59,3.48
613,Jhanvi Jaggi,4/20/2023,13,1085.42,4.82
614,Fateh Doshi,10/9/2022,26,414.55,4.04
615,Mannat Swaminathan,1/30/2023,55,456.14,4.88
616,Jiya Zachariah,6/8/2023,18,1503.8,4.49
617,Jayan Arora,5/14/2023,40,1932.26,3.63
618,Vardaniya Brahmbhatt,4/22/2023,68,501.06,4.77
619,Anahita Raju,12/24/2022,25,762,4.34
620,Renee Soni,5/6/2023,19,1103.28,4.48
621,Gokul Ratti,12/28/2022,89,705.18,3.2
622,Yuvraj  Bhandari,9/11/2022,93,1681.38,4.64
623,Prisha Dass,5/6/2023,97,1888.57,3.21
624,Devansh Kari,10/30/2022,31,838.18,3.56
625,Ayesha Raj,3/17/2023,15,1310.12,3.88
626,Kashvi Savant,9/26/2022,40,1047.07,4.98
627,Stuvan Deol,3/29/2023,49,737.7,4.68
628,Renee Sinha,1/8/2023,77,1607.76,3.39
629,Bhavin Bains,8/22/2022,28,1121.68,3.51
630,Aradhya Sachdev,1/16/2023,68,917.94,4.07
631,Anvi Mangat,3/11/2023,96,693.78,4.1
632,Onkar Mannan,2/21/2023,37,1821.53,3.82
633,Advik Roy,3/1/2023,12,1169.3,4.57
634,Ira Devi,9/20/2022,78,1457.27,3.6
635,Kaira Shukla,2/6/2023,44,309.18,3.99
636,Riya Ben,4/17/2023,74,1992.36,4.19
637,Ivana Gera,1/30/2023,26,1320.54,4.61
638,Navya Sami,6/30/2023,50,1001.58,3.35
639,Manjari Dhaliwal,5/5/2023,72,362.53,4.69
640,Chirag Ramanathan,10/7/2022,99,164.2,3.67
641,Miraya Krishnamurthy,2/23/2023,29,1803.02,4.37
642,Arnav Sahota,5/26/2023,31,1793.1,3.53
643,Rasha Datta,3/28/2023,72,1259.75,3.92
644,Navya Shroff,12/31/2022,41,1489.78,4.24
645,Himmat Bandi,10/2/2022,52,1762.31,4.6
646,Shayak Lal,3/19/2023,96,298.13,3.71
647,Drishya Luthra,4/17/2023,93,1288.67,3.03
648,Akarsh Baral,3/5/2023,100,987.27,3.61
649,Taran Gour,3/16/2023,53,829.86,4.78
650,Piya Tak,10/3/2022,78,1828.4,3.31
651,Seher Date,6/23/2023,54,117.76,3.53
652,Ivana Mannan,8/26/2022,25,1853.11,3.74
653,Taimur Hegde,5/17/2023,80,422.35,3.96
654,Saanvi Ramakrishnan,7/11/2023,97,1556.72,3.88
655,Inaaya  Mann,1/19/2023,99,1283.79,4.72
656,Anay Choudhury,9/16/2022,92,1700.38,4.04
657,Miraan Dhingra,6/17/2023,82,756.73,4.63
658,Zoya Mander,12/26/2022,13,576.88,4.3
659,Yasmin Anand,6/22/2023,12,1255.24,4.52
660,Myra Chaudhary,8/27/2022,90,1301.41,3.05
661,Taran Ghosh,6/11/2023,12,387.95,3.65
662,Ira Sharma,8/19/2022,90,906.01,4.58
663,Saanvi Bath,9/14/2022,20,1342.24,4.06
664,Jayan Soman,3/30/2023,14,700.58,3.96
665,Ojas Banik,12/24/2022,43,749.05,4.69
666,Anaya Dara,11/16/2022,60,274.13,3.02
667,Nitya Chada,10/27/2022,55,1652.68,4.47
668,Sahil Buch,3/25/2023,20,692.45,3.85
669,Aradhya Vora,3/4/2023,48,1494.2,3.5
670,Piya Sinha,9/27/2022,37,1193.87,4.29
671,Tarini Chawla,11/21/2022,81,1240.68,3.75
672,Kiaan Madan,8/17/2022,15,763.33,4.65
673,Vihaan Kota,12/27/2022,91,975.56,3.42
674,Neelofar Deo,9/18/2022,45,1882.25,4.59
675,Yuvraj  Dora,7/2/2023,30,176.89,3.6
676,Jivin Anand,9/25/2022,65,1807.33,4.44
677,Gokul Bir,1/1/2023,83,1409.98,3.57
678,Saanvi Soman,2/1/2023,74,826.45,3.84
679,Damini Kakar,3/21/2023,36,666.55,4.89
680,Mohanlal Yadav,6/27/2023,13,1593.1,4.64
681,Divit Bhatnagar,2/27/2023,48,565.13,4.8
682,Jivin Bhasin,6/27/2023,45,1487.72,3.05
683,Shamik Tak,7/6/2023,69,1120.87,4.54
684,Siya Bala,1/3/2023,20,308.24,3.62
685,Ranbir Lanka,6/24/2023,43,318.34,4.65
686,Yuvraj  Dugal,6/3/2023,32,1704.02,4.86
